date,category,name,change,percentage
2020-02-01,Video Card Description,NVIDIA GeForce RTX 2060,-0.0002,0.021
2020-02-01,Video Card Description,NVIDIA GeForce RTX 2060 SUPER,0.0008,0.0056
2020-02-01,Video Card Description,NVIDIA GeForce RTX 2070,-0.0007,0.0161
2020-02-01,Video Card Description,NVIDIA GeForce RTX 2070 SUPER,0.0012,0.0089
2020-02-01,Video Card Description,NVIDIA GeForce RTX 2080,-0.001,0.0093
2020-02-01,Video Card Description,NVIDIA GeForce RTX 2080 SUPER,0.0003,0.0034
2020-02-01,Video Card Description,NVIDIA GeForce RTX 2080 Ti,0.0,0.007
2020-03-01,Video Card Description,NVIDIA GeForce 840M,0.0001,0.0032
2020-03-01,Video Card Description,NVIDIA GeForce 920M,0.0002,0.0037
2020-03-01,Video Card Description,NVIDIA GeForce 920MX,0.0002,0.0028
2020-03-01,Video Card Description,NVIDIA GeForce 940M,0.0006,0.0098
2020-03-01,Video Card Description,NVIDIA GeForce 940MX,0.0001,0.0021
2020-03-01,Video Card Description,NVIDIA GeForce GT 1030,-0.001,0.0056
2020-03-01,Video Card Description,NVIDIA GeForce GT 630,-0.0009,0.0026
2020-03-01,Video Card Description,NVIDIA GeForce GT 710,-0.0006,0.0029
2020-03-01,Video Card Description,NVIDIA GeForce GT 720M,-0.0002,0.0053
2020-03-01,Video Card Description,NVIDIA GeForce GT 730,-0.0017,0.0066
2020-03-01,Video Card Description,NVIDIA GeForce GT 740M,0.0,0.0021
2020-03-01,Video Card Description,NVIDIA GeForce GTS 450,-0.0006,0.0015
2020-03-01,Video Card Description,NVIDIA GeForce GTX 1050,-0.0008,0.0519
2020-03-01,Video Card Description,NVIDIA GeForce GTX 1050 Ti,-0.0031,0.0843
2020-03-01,Video Card Description,NVIDIA GeForce GTX 1060,-0.001,0.1213
2020-03-01,Video Card Description,NVIDIA GeForce GTX 1070,0.0,0.0406
2020-03-01,Video Card Description,NVIDIA GeForce GTX 1070 Ti,0.0012,0.012
2020-03-01,Video Card Description,NVIDIA GeForce GTX 1080,0.0007,0.0249
2020-03-01,Video Card Description,NVIDIA GeForce GTX 1080 Ti,-0.0001,0.0152
2020-03-01,Video Card Description,NVIDIA GeForce GTX 1650,0.002,0.0226
2020-03-01,Video Card Description,NVIDIA GeForce GTX 1660,0.0017,0.014
2020-03-01,Video Card Description,NVIDIA GeForce GTX 1660 SUPER,0.0011,0.0042
2020-03-01,Video Card Description,NVIDIA GeForce GTX 1660 Ti,0.0015,0.0237
2020-03-01,Video Card Description,NVIDIA GeForce GTX 550 Ti,-0.0005,0.0022
2020-03-01,Video Card Description,NVIDIA GeForce GTX 650,-0.0011,0.0038
2020-03-01,Video Card Description,NVIDIA GeForce GTX 650 Ti,-0.0004,0.0015
2020-03-01,Video Card Description,NVIDIA GeForce GTX 660,-0.0008,0.0039
2020-03-01,Video Card Description,NVIDIA GeForce GTX 750,-0.0013,0.0044
2020-03-01,Video Card Description,NVIDIA GeForce GTX 750 Ti,-0.0036,0.0154
2020-03-01,Video Card Description,NVIDIA GeForce GTX 760,-0.0008,0.0045
